fileId,url,size
1568611185,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h28v05.006.2015139224440.hdf,7247890
1568611367,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h24v03.006.2015139224355.hdf,23676818
1568611368,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h25v03.006.2015139224550.hdf,18827685
1568611412,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h25v04.006.2015139224124.hdf,21203295
1568612789,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h26v03.006.2015140013422.hdf,10980297
1568613483,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h23v03.006.2015139224526.hdf,23537313
1568613681,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h26v03.006.2015139085844.hdf,10106251
1568614665,/archive/allData/6/MOD13A3/2000/275/MOD13A3.A2000275.h24v03.006.2015139085846.hdf,21743438
1568644997,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h24v04.006.2015139224353.hdf,22559268
1568649109,/archive/allData/6/MOD13A3/2000/306/MOD13A3.A2000306.h27v05.006.2015139221351.hdf,16869419
1568880480,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h22v03.006.2015140093327.hdf,22807747
1568946798,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h26v05.006.2015140091532.hdf,22232631
1568952881,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h25v05.006.2015140092850.hdf,22196340
1568965965,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h24v04.006.2015140091535.hdf,22979743
1568966053,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h27v05.006.2015140092849.hdf,16975593
1568966958,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h27v04.006.2015140092850.hdf,14450723
1568971488,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h24v03.006.2015140092124.hdf,24173481
1568972424,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h25v03.006.2015140093420.hdf,19305551
1568972425,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h26v04.006.2015140092853.hdf,22608202
1568979189,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h25v04.006.2015140093321.hdf,21846427
1568979489,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h26v03.006.2015140093317.hdf,11201324
1568983942,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h23v03.006.2015140093323.hdf,23569485
1568983943,/archive/allData/6/MOD13A3/2000/336/MOD13A3.A2000336.h28v05.006.2015140092844.hdf,7257613
1572182663,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h28v05.006.2015140091528.hdf,7442508
1572182954,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h25v04.006.2015140093326.hdf,21929003
1572182955,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h25v05.006.2015140092848.hdf,22044843
1572183361,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h24v04.006.2015140092854.hdf,23066401
1572183656,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h26v05.006.2015140091539.hdf,22058000
1572200092,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h22v03.006.2015140093323.hdf,22805066
1572201974,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h23v03.006.2015140093318.hdf,23566637
1572202201,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h25v03.006.2015140093732.hdf,19158347
1572202202,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h27v04.006.2015140093312.hdf,14752692
1572202203,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h27v05.006.2015140092855.hdf,17351305
1572202298,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h24v03.006.2015140093736.hdf,23910552
1572202397,/archive/allData/6/MOD13A3/2001/001/MOD13A3.A2001001.h26v04.006.2015140092853.hdf,22896404
1572251941,/archive/allData/6/MOD13A3/2001/032/MOD13A3.A2001032.h25v05.006.2015142182348.hdf,21885350
1572277880,/archive/allData/6/MOD13A3/2001/032/MOD13A3.A2001032.h22v03.006.2015142182318.hdf,23131964
1572279173,/archive/allData/6/MOD13A3/2001/032/MOD13A3.A2001032.h25v04.006.2015142182458.hdf,21839840
1572279271,/archive/allData/6/MOD13A3/2001/032/MOD13A3.A2001032.h24v03.006.2015142184251.hdf,24189318
